,,,,,,,,,,,,
Materi,Sub Materi Semester 1,,,,,,Sub Materi Semester 2,,,,,
,Juli,Agustus,September,Oktober,November,Desember,Januari ,Februari,Maret,April,Mei,Juni
Baca Huruf Quran,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian,Menderes Harian
Tulis Huruf Arab,Makna Juz 7,Makna Juz 7,Makna Juz 8,Makna Juz 8,K. Janaiz,K. Janaiz,Juz 8,Juz 9,Juz 9,K. Imaroh,K. Imaroh,K. Imaroh
Hafalan Surat Al Qur'an,Surat Al Mulk,Surat Al Mulk,Surat Al Mulk,Surat Al Mulk,Dalil 5 Bab (masing-masing 2 dalil),Dalil 5 Bab (masing-masing 2 dalil),Surat Al Baqoroh 1-4,Surat Al Baqoroh 1-4,Dalil 4 TK,Dalil 4 TK,Dalil 3 Sukses Generus,Dalil 3 Sukses Generus
Hafalan Doa Harian,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya
Materi dasar keagamaan,Dasar Aqidah,Pengertian Qur’an Hadits Jama’ah,Kemurnian ibadah,Pengetahuan wajibnya taat dan haromnya maksiat,Pengetahuan hukum halal-haram,Thaharah dan Sholat,Mandi Junub,"Hukum haid, mani, madzi dan wadhi","Sholat sunnah rowatib, dhuha, tahajjud dan tasbih",Puasa Romadlon,Puasa Sunnah,Aurat
,"Rukun iman, rukun islam dan ihsan","Ilmu Manqul, Musnad, Muttashil",,,,,,,,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,Hukum Mahram,
Praktik Ibadah,Mempraktikkan puasa sunah,Mempraktikkan puasa sunah,Mempraktikkan puasa sunah,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan puasa sunah,Mempraktikkan puasa sunah,Mempraktikkan puasa sunah,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan doa-doa yang telah dihafal,Mempraktikkan doa-doa yang telah dihafal
Akhlaq,Pribadi,Pribadi,Keluarga,Keluarga,"Ulil Amri, Guru, dan Mubaligh-Mubalighot","Ulil Amri, Guru, dan Mubaligh-Mubalighot",Masyarakat,Masyarakat,Masyarakat,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar
Adab/ Tatakrama,Ta'dhim dan berbuat baik kepada orang tua,Menghormati guru dan mubaligh-mubalighot,Bergaul dengan teman,Ketika Di Masjid,Terhadap Lingkungan Dan Alam Sekitar,Bertamu/Diajak Bertamu Dan Kedatangan Tamu,Berpakaian,Ketika Menguap,Terhadap Kerabat,Tata krama bersepeda,Tata krama ketika makan bersama,Tata krama mencari ilmu
,Menghormati yang lebih tua dan menyayangi yang muda,,,Ketika Di Tempat Pengajian Dan Sekolah,Terhadap Ulil Amri,,Tidur,Ketika Bersin,Terhadap Tetangga,,,
Mandiri,Kemandirian pribadi,Kemandirian pribadi,Kemandirian dalam keluarga,Kemandirian dalam keluarga,Kemandirian dalam lingkungan jamaah dan sekolah,Kemandirian dalam lingkungan jamaah dan sekolah,Keterampilan Generus Putra,Keterampilan Generus Putra,Keterampilan Generus Putra,Keterampilan Generus Putri,Keterampilan Generus Putri,Keterampilan Generus Putri
