,,,,,,,,,,,,
Materi,Sub Materi Semester 1,,,,,,Sub Materi Semester 2,,,,,
,Juli,Agustus,September,Oktober,November,Desember,Januari ,Februari,Maret,April,Mei,Juni
Baca Huruf Quran,Al Quran 18,Al Quran 18,Al Quran 19 ,Al Quran 19 ,Al Quran 20 ,Al Quran 20,Al Quran 21,Al Quran 21,Al Quran 22,Al Quran 22,Al Quran 23,Al Quran 23
,Hukum Mad,,,,,,Hukum Ro',Hukum Qolqolah,,,,
Tulis Huruf Arab,Makna Juz 24,Makna Juz 24,Makna Juz 25,Makna Juz 25,K. Sholatinnawafil,K. Sholatinnawafil,Juz 26,Juz 26,Juz 26,K. Da'wat,K. Da'wat,K. Da'wat
Hafalan Surat Al Qur'an,Surat Al Muthoffifin,Surat Al Muthoffifin,Ayat Kursi,Ayat Kursi,Dalil 5 Syarat Kerukunan,Dalil 5 Syarat Kerukunan,Surat Al Infithor,Surat Al Infithor,Surat At Takwir,Surat At Takwir,Tiga ayat terakhir surat al Baqoroh,Dalil 5 Maqodirulloh
Hafalan Doa Harian,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya
Materi dasar keagamaan,Dasar Aqidah,Pengetahuan wajibnya taat dan haromnya maksiat,Kemurnian ibadah,"Sholat sunah rowatib, dhuha, dan tahajud","ilmu manqul, musnad, muttashil",mandi junub,Pengertian Qu'an Hadis Jama'ah,Puasa Romadhon,"Kefadholan puasa,dan yang di perbolehkan saat puasa",hukum mahrom,"hukum haid, mani, madzi, wadhi",Aurot
,"Rukun iman, rukun islam dan ihsan",Pengetahuan halal dan harom,,,,,Thoharoh dan Sholat,,,,,
Praktik Ibadah,Praktik sholat tasbih,Praktik sholat tasbih,Praktik sholat tasbih,Praktik salat beserta bacaan dan doanya,Praktik salat beserta bacaan dan doanya,Praktik salat beserta bacaan dan doanya,Praktik rutin membaca Al Quran,Praktik rutin membaca Al Quran,Praktik rutin membaca Al Quran,Praktik rutin membaca PR 13,Praktik rutin membaca PR 13,Praktik rutin membaca PR 13
Akhlaq,Pribadi,Pribadi,Keluarga,Keluarga,"Ulil Amri, Guru, dan Mubaligh-Mubalighot","Ulil Amri, Guru, dan Mubaligh-Mubalighot",Masyarakat,Masyarakat,Masyarakat,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar
Adab/ Tatakrama,Ta'dhim dan berbuat baik kepada orang tua,Menghormati guru dan mubaligh-mubalighot,Tata krama terhadap ulil amri,Tata krama berpakaian,Tata krama terhadap kerabat,Tata krama terhadap tetangga,Tata krama ketika di masjid,Tata krama terhadap lingkungan dan alam sekitar,Tata krama ketika menguap,Tata krama bersepeda,Tata krama ketika makan bersama,Tata krama mencari ilmu
,Menghormati yang lebih tua dan menyayangi yang muda,Bergaul dengan teman,Tata krama bertamu/ diajak bertamu,,,,Tata krama di tempat pengajian dan sekolah,Tata krama tidur,Tata krama ketika bersin,,,
Mandiri,Kemandirian pribadi,Kemandirian pribadi,Kemandirian dalam keluarga,Kemandirian dalam keluarga,Kemandirian dalam lingkungan jamaah dan sekolah,Kemandirian dalam lingkungan jamaah dan sekolah,Keterampilan Generus Putra,Keterampilan Generus Putra,Keterampilan Generus Putra,Keterampilan Generus Putri,Keterampilan Generus Putri,Keterampilan Generus Putri
