,,,,,,,,,,,,
Materi,Sub Materi Semester 1,,,,,,Sub Materi Semester 2,,,,,
,Juli,Agustus,September,Oktober,November,Desember,Januari ,Februari,Maret,April,Mei,Juni
Baca Huruf Quran,Menderes jus 27 - 28,Menderes jus 27 - 28,Menderes jus 27 - 28,Menderes jus 27 - 28,Menderes jus 27 - 28,Menderes jus 27 - 28,Menderes Juz 29 – 30  ,Menderes Juz 29 – 30  ,Menderes Juz 29 – 30  ,Menderes Juz 29 – 30  ,Menderes Juz 29 – 30  ,Menderes Juz 29 – 30  
Tulis Huruf Arab,Sunan Ibnu Majjah 1,Sunan Ibnu Majjah 1,Sunan Ibnu Majjah 1,Sunan Ibnu Majjah 1,Sunan Ibnu Majjah 1,Sunan Ibnu Majjah 1,Sunan Ibnu Majjah 2,Sunan Ibnu Majjah 2,Sunan Ibnu Majjah 2,Sunan Ibnu Majjah 2,Sunan Ibnu Majjah 2,Sunan Ibnu Majjah 2
Hafalan Surat Al Qur'an,"Menderes:
1.	Surah Al-A’la
2.	Surah At-Tariq
3.	Surah Al-Buruj 
4.	Surah Al-Insyiqaq
","Menderes:
1.	Surah Al-A’la
2.	Surah At-Tariq
3.	Surah Al-Buruj 
4.	Surah Al-Insyiqaq
","Menderes:
1.	Surah Al-A’la
2.	Surah At-Tariq
3.	Surah Al-Buruj 
4.	Surah Al-Insyiqaq
","Menderes:
1.	Surah Al-A’la
2.	Surah At-Tariq
3.	Surah Al-Buruj 
4.	Surah Al-Insyiqaq
","Menderes:
1.	Surah Al-A’la
2.	Surah At-Tariq
3.	Surah Al-Buruj 
4.	Surah Al-Insyiqaq
","Menderes:
1.	Surah Al-A’la
2.	Surah At-Tariq
3.	Surah Al-Buruj 
4.	Surah Al-Insyiqaq
","Menderes:
1.	Surah Al-Tatfif
2.	Surah Al-Infitar","Menderes:
1.	Surah Al-Tatfif
2.	Surah Al-Infitar","Menderes:
1.	Surah Al-Tatfif
2.	Surah Al-Infitar","Menderes:
1.	Surah Al-Tatfif
2.	Surah Al-Infitar","Menderes:
1.	Surah Al-Tatfif
2.	Surah Al-Infitar","Menderes:
1.	Surah Al-Tatfif
2.	Surah Al-Infitar"
Hafalan Doa Harian,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya
Materi dasar keagamaan,Dasar Aqidah,Pengertian Qur’an Hadits Jama’ah,Kemurnian ibadah,Pengetahuan wajibnya taat dan haromnya maksiat,Pengetahuan hukum halal-haram,Thaharah dan Sholat,Mandi Junub,"Hukum haid, mani, madzi dan wadhi","Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh",Puasa Romadlon,Puasa Sunnah,Aurat
,"Rukun iman, rukun islam dan ihsan","Ilmu Manqul, Musnad, Muttashil",,,,,,,,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,Hukum Mahram,
Praktik Ibadah,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh
Akhlaq,Pribadi,Pribadi,Keluarga,Keluarga,"Ulil Amri, Guru, dan Mubaligh-Mubalighot","Ulil Amri, Guru, dan Mubaligh-Mubalighot",Masyarakat,Masyarakat,Masyarakat,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar
Adab/ Tatakrama,Ta'dhim dan berbuat baik kepada orang tua,Menghormati guru dan mubaligh-mubalighot,Bergaul dengan teman,Ketika Di Masjid,Terhadap Lingkungan Dan Alam Sekitar,Bertamu/Diajak Bertamu Dan Kedatangan Tamu,Berpakaian,Ketika Menguap,Terhadap Kerabat,Tata krama bersepeda,Tata krama mencari ilmu,Dalam bermasyarakat
,Menghormati yang lebih tua dan menyayangi yang muda,,,Ketika Di Tempat Pengajian Dan Sekolah,Terhadap Ulil Amri,,Tidur,Ketika Bersin,Terhadap Tetangga,Tata krama ketika makan bersama,Dalam kehidupan berumah tangga,Dalam lingkungan kerja
Mandiri,Kemandirian pribadi,Dalam Keluarga,Kemandirian dalam keluarga,Keterampilan Generus Putra,Keterampilan Generus Putri,Keterampilan Generus Putri,Kemandirian pribadi,Dalam Keluarga,Kemandirian dalam keluarga,Keterampilan Generus Putra,Keterampilan Generus Putri,Keterampilan Generus Putri
