,,,,,,,,,,,,
Materi,Sub Materi Semester 1,,,,,,Sub Materi Semester 2,,,,,
,Juli,Agustus,September,Oktober,November,Desember,Januari ,Februari,Maret,April,Mei,Juni
Baca Huruf Quran,Menderes Juz 19-20,Menderes Juz 19-20,Menderes Juz 19-20,Menderes Juz 19-20,Menderes Juz 19-20,Menderes Juz 19-20,Menderes Juz 21-22,Menderes Juz 21-22,Menderes Juz 21-22,Menderes Juz 21-22,Menderes Juz 21-22,Menderes Juz 21-22
Tulis Huruf Arab,Juz 1 – 2,Juz 1 – 2,Juz 1 – 2,Juz 1 – 2,K. Manasikil Haji (113),K. Manasikil Haji (113),Juz 2 – 3,Juz 2 – 3,Juz 2 – 3,Juz 2 – 3,K. Nikah,K. Nikah
Hafalan Surat Al Qur'an,"Menderes:
Surah An-Nas        
1.        Surah Al-Falaq
2.        Surah Al-Ikhlas        
3.        Surah Al-Lahab
4.        Surah An-Nasr        
5.        Al-Kafirun
6.        Surah Al-Kausar        
7.        Surah Al-Ma’un
8.        Surah Quraisy
","Menderes:
Surah An-Nas        
1.        Surah Al-Falaq
2.        Surah Al-Ikhlas        
3.        Surah Al-Lahab
4.        Surah An-Nasr        
5.        Al-Kafirun
6.        Surah Al-Kausar        
7.        Surah Al-Ma’un
8.        Surah Quraisy
","Menderes:
Surah An-Nas        
1.        Surah Al-Falaq
2.        Surah Al-Ikhlas        
3.        Surah Al-Lahab
4.        Surah An-Nasr        
5.        Al-Kafirun
6.        Surah Al-Kausar        
7.        Surah Al-Ma’un
8.        Surah Quraisy
","Menderes:
Surah An-Nas        
1.        Surah Al-Falaq
2.        Surah Al-Ikhlas        
3.        Surah Al-Lahab
4.        Surah An-Nasr        
5.        Al-Kafirun
6.        Surah Al-Kausar        
7.        Surah Al-Ma’un
8.        Surah Quraisy
","Menderes:
Surah An-Nas        
1.        Surah Al-Falaq
2.        Surah Al-Ikhlas        
3.        Surah Al-Lahab
4.        Surah An-Nasr        
5.        Al-Kafirun
6.        Surah Al-Kausar        
7.        Surah Al-Ma’un
8.        Surah Quraisy
","Menderes:
Surah An-Nas        
1.        Surah Al-Falaq
2.        Surah Al-Ikhlas        
3.        Surah Al-Lahab
4.        Surah An-Nasr        
5.        Al-Kafirun
6.        Surah Al-Kausar        
7.        Surah Al-Ma’un
8.        Surah Quraisy
","Menderes:
1.        Surah Al-Fil        
2.        Surah Al-Humazah
3.        Surah Al-'Asr        
4.        At-Takasur
5.        Surah Al-Qari'ah        
6.        Al-'Adiyat
7.        Surah Az-Zalzalah","Menderes:
1.        Surah Al-Fil        
2.        Surah Al-Humazah
3.        Surah Al-'Asr        
4.        At-Takasur
5.        Surah Al-Qari'ah        
6.        Al-'Adiyat
7.        Surah Az-Zalzalah","Menderes:
1.        Surah Al-Fil        
2.        Surah Al-Humazah
3.        Surah Al-'Asr        
4.        At-Takasur
5.        Surah Al-Qari'ah        
6.        Al-'Adiyat
7.        Surah Az-Zalzalah","Menderes:
1.        Surah Al-Fil        
2.        Surah Al-Humazah
3.        Surah Al-'Asr        
4.        At-Takasur
5.        Surah Al-Qari'ah        
6.        Al-'Adiyat
7.        Surah Az-Zalzalah","Menderes:
1.        Surah Al-Fil        
2.        Surah Al-Humazah
3.        Surah Al-'Asr        
4.        At-Takasur
5.        Surah Al-Qari'ah        
6.        Al-'Adiyat
7.        Surah Az-Zalzalah","Menderes:
1.        Surah Al-Fil        
2.        Surah Al-Humazah
3.        Surah Al-'Asr        
4.        At-Takasur
5.        Surah Al-Qari'ah        
6.        Al-'Adiyat
7.        Surah Az-Zalzalah"
Hafalan Doa Harian,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya,menerampilkan hafalan do'a pada jenjang sebelumnya
Materi dasar keagamaan,Dasar Aqidah,Pengertian Qur’an Hadits Jama’ah,Kemurnian ibadah,Pengetahuan wajibnya taat dan haromnya maksiat,Pengetahuan hukum halal-haram,Thaharah dan Sholat,Mandi Junub,"Hukum haid, mani, madzi dan wadhi","Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh",Puasa Romadlon,Puasa Sunnah,Aurat
,"Rukun iman, rukun islam dan ihsan","Ilmu Manqul, Musnad, Muttashil",,,,,,,,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa,Hukum Mahram,
Praktik Ibadah,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat hajat,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh,Mempraktikan sholat istikhoroh
Akhlaq,Pribadi,Pribadi,Keluarga,Keluarga,"Ulil Amri, Guru, dan Mubaligh-Mubalighot","Ulil Amri, Guru, dan Mubaligh-Mubalighot",Masyarakat,Masyarakat,Masyarakat,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar,Lingkungan dan alam sekitar
Adab/ Tatakrama,Ta'dhim dan berbuat baik kepada orang tua,Menghormati guru dan mubaligh-mubalighot,Bergaul dengan teman,Ketika Di Masjid,Terhadap Lingkungan Dan Alam Sekitar,Bertamu/Diajak Bertamu Dan Kedatangan Tamu,Berpakaian,Ketika Menguap,Terhadap Kerabat,Tata krama bersepeda,Tata krama mencari ilmu,Dalam bermasyarakat
,Menghormati yang lebih tua dan menyayangi yang muda,,,Ketika Di Tempat Pengajian Dan Sekolah,Terhadap Ulil Amri,,Tidur,Ketika Bersin,Terhadap Tetangga,Tata krama ketika makan bersama,Dalam kehidupan berumah tangga,Dalam lingkungan kerja
