kelas,kategori,target_bulan,materi
Pra Nikah 4,Baca Huruf Quran,Juli - Desember,Menderes juz 1 – 2
Pra Nikah 4,Baca Huruf Quran,Januari - Juni,Menderes juz 3 - 4
Pra Nikah 4,Tulis Huruf Arab,Juli - Desember,Sunan Ibnu Majjah 3
Pra Nikah 4,Tulis Huruf Arab,Januari - Juni,Sunan Ibnu Majjah 4
Pra Nikah 4,Hafalan Surat Al Qur'an,Juli - Desember,Menderes: 1. Surah At-Takwir 2. Surah 'Abasa
Pra Nikah 4,Hafalan Surat Al Qur'an,Januari - Juni,Menderes: 1. Surah An-Nazi’at 2. Surah An-Naba’
Pra Nikah 4,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
Pra Nikah 4,Materi Dasar Keagamaan,Juli,Dasar Aqidah
Pra Nikah 4,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
Pra Nikah 4,Materi Dasar Keagamaan,September,Kemurnian ibadah
Pra Nikah 4,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
Pra Nikah 4,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
Pra Nikah 4,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
Pra Nikah 4,Materi Dasar Keagamaan,Januari,Mandi Junub
Pra Nikah 4,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
Pra Nikah 4,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
Pra Nikah 4,Materi Dasar Keagamaan,April,Puasa Romadlon
Pra Nikah 4,Materi Dasar Keagamaan,Mei,Puasa Sunnah
Pra Nikah 4,Materi Dasar Keagamaan,Juni,Aurat
Pra Nikah 4,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
Pra Nikah 4,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
Pra Nikah 4,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
Pra Nikah 4,Materi Dasar Keagamaan,Mei,Hukum Mahram
Pra Nikah 4,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
Pra Nikah 4,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
Pra Nikah 4,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
Pra Nikah 4,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
Pra Nikah 4,Akhlaq,Juli - Agustus,Pribadi
Pra Nikah 4,Akhlaq,September - Oktober,Keluarga
Pra Nikah 4,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Pra Nikah 4,Akhlaq,Januari - Maret,Masyarakat
Pra Nikah 4,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Pra Nikah 4,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
Pra Nikah 4,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
Pra Nikah 4,Adab/ Tatakrama,September,Bergaul dengan teman
Pra Nikah 4,Adab/ Tatakrama,Oktober,Ketika Di Masjid
Pra Nikah 4,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
Pra Nikah 4,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
Pra Nikah 4,Adab/ Tatakrama,Januari,Berpakaian
Pra Nikah 4,Adab/ Tatakrama,Februari,Ketika Menguap
Pra Nikah 4,Adab/ Tatakrama,Maret,Terhadap Kerabat
Pra Nikah 4,Adab/ Tatakrama,April,Tata krama bersepeda
Pra Nikah 4,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
Pra Nikah 4,Adab/ Tatakrama,Juni,Dalam bermasyarakat
Pra Nikah 4,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
Pra Nikah 4,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
Pra Nikah 4,Adab/ Tatakrama,November,Terhadap Ulil Amri
Pra Nikah 4,Adab/ Tatakrama,Januari,Tidur
Pra Nikah 4,Adab/ Tatakrama,Februari,Ketika Bersin
Pra Nikah 4,Adab/ Tatakrama,Maret,Terhadap Tetangga
Pra Nikah 4,Adab/ Tatakrama,April,Tata krama ketika makan bersama
Pra Nikah 4,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
Pra Nikah 4,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
Pra Nikah 4,Mandiri,Juli,Kemandirian pribadi
Pra Nikah 4,Mandiri,Agustus,Dalam Keluarga
Pra Nikah 4,Mandiri,September,Kemandirian dalam keluarga
Pra Nikah 4,Mandiri,Oktober,Keterampilan Generus Putra
Pra Nikah 4,Mandiri,November - Desember,Keterampilan Generus Putri
Pra Nikah 4,Mandiri,Januari,Kemandirian pribadi
Pra Nikah 4,Mandiri,Februari,Dalam Keluarga
Pra Nikah 4,Mandiri,Maret,Kemandirian dalam keluarga
Pra Nikah 4,Mandiri,April,Keterampilan Generus Putra
Pra Nikah 4,Mandiri,Mei - Juni,Keterampilan Generus Putri
