kelas,kategori,target_bulan,materi
SMP 2,Baca Huruf Quran,Juli - Agustus,Al Quran 18
SMP 2,Baca Huruf Quran,September - Oktober,Al Quran 19
SMP 2,Baca Huruf Quran,November - Desember,Al Quran 20
SMP 2,Baca Huruf Quran,Januari - Februari,Al Quran 21
SMP 2,Baca Huruf Quran,Maret - April,Al Quran 22
SMP 2,Baca Huruf Quran,Mei - Juni,Al Quran 23
SMP 2,Baca Huruf Quran,Juli,Hukum Mad
SMP 2,Baca Huruf Quran,Januari,Hukum Ro'
SMP 2,Baca Huruf Quran,Februari,Hukum Qolqolah
SMP 2,Tulis Huruf Arab,Juli - Agustus,Makna Juz 24
SMP 2,Tulis Huruf Arab,September - Oktober,Makna Juz 25
SMP 2,Tulis Huruf Arab,November - Desember,K. Sholatinnawafil
SMP 2,Tulis Huruf Arab,Januari - Maret,Juz 26
SMP 2,Tulis Huruf Arab,April - Juni,K. Da'wat
SMP 2,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Muthoffifin
SMP 2,Hafalan Surat Al Qur'an,September - Oktober,Ayat Kursi
SMP 2,Hafalan Surat Al Qur'an,November - Desember,Dalil 5 Syarat Kerukunan
SMP 2,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Infithor
SMP 2,Hafalan Surat Al Qur'an,Maret - April,Surat At Takwir
SMP 2,Hafalan Surat Al Qur'an,Mei,Tiga ayat terakhir surat al Baqoroh
SMP 2,Hafalan Surat Al Qur'an,Juni,Dalil 5 Maqodirulloh
SMP 2,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMP 2,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMP 2,Materi Dasar Keagamaan,Agustus,Pengetahuan wajibnya taat dan haromnya maksiat
SMP 2,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMP 2,Materi Dasar Keagamaan,Oktober,"Sholat sunah rowatib, dhuha, dan tahajud"
SMP 2,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil"
SMP 2,Materi Dasar Keagamaan,Desember,mandi junub
SMP 2,Materi Dasar Keagamaan,Januari,Pengertian Qu'an Hadis Jama'ah
SMP 2,Materi Dasar Keagamaan,Februari,Puasa Romadhon
SMP 2,Materi Dasar Keagamaan,Maret,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
SMP 2,Materi Dasar Keagamaan,April,hukum mahrom
SMP 2,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi"
SMP 2,Materi Dasar Keagamaan,Juni,Aurot
SMP 2,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMP 2,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom
SMP 2,Materi Dasar Keagamaan,Januari,Thoharoh dan Sholat
SMP 2,Praktik Ibadah,Juli - September,Praktik sholat tasbih
SMP 2,Praktik Ibadah,Oktober - Desember,Praktik salat beserta bacaan dan doanya
SMP 2,Praktik Ibadah,Januari - Maret,Praktik rutin membaca Al Quran
SMP 2,Praktik Ibadah,April - Juni,Praktik rutin membaca PR 13
SMP 2,Akhlaq,Juli - Agustus,Pribadi
SMP 2,Akhlaq,September - Oktober,Keluarga
SMP 2,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMP 2,Akhlaq,Januari - Maret,Masyarakat
SMP 2,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMP 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMP 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMP 2,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
SMP 2,Adab/ Tatakrama,Oktober,Tata krama berpakaian
SMP 2,Adab/ Tatakrama,November,Tata krama terhadap kerabat
SMP 2,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
SMP 2,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
SMP 2,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
SMP 2,Adab/ Tatakrama,Maret,Tata krama ketika menguap
SMP 2,Adab/ Tatakrama,April,Tata krama bersepeda
SMP 2,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMP 2,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMP 2,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMP 2,Adab/ Tatakrama,Agustus,Bergaul dengan teman
SMP 2,Adab/ Tatakrama,September,Tata krama bertamu/ diajak bertamu
SMP 2,Adab/ Tatakrama,Januari,Tata krama di tempat pengajian dan sekolah
SMP 2,Adab/ Tatakrama,Februari,Tata krama tidur
SMP 2,Adab/ Tatakrama,Maret,Tata krama ketika bersin
SMP 2,Mandiri,Juli - Agustus,Kemandirian pribadi
SMP 2,Mandiri,September - Oktober,Kemandirian dalam keluarga
SMP 2,Mandiri,November - Desember,Kemandirian dalam lingkungan jamaah dan sekolah
SMP 2,Mandiri,Januari - Maret,Keterampilan Generus Putra
SMP 2,Mandiri,April - Juni,Keterampilan Generus Putri
