kelas,kategori,target_bulan,materi
Pra Nikah 3,Baca Huruf Quran,Juli - Desember,Menderes jus 27 - 28
Pra Nikah 3,Baca Huruf Quran,Januari - Juni,Menderes Juz 29 – 30
Pra Nikah 3,Tulis Huruf Arab,Juli - Desember,Sunan Ibnu Majjah 1
Pra Nikah 3,Tulis Huruf Arab,Januari - Juni,Sunan Ibnu Majjah 2
Pra Nikah 3,Hafalan Surat Al Qur'an,Juli - Desember,Menderes: 1. Surah Al-A’la 2. Surah At-Tariq 3. Surah Al-Buruj 4. Surah Al-Insyiqaq
Pra Nikah 3,Hafalan Surat Al Qur'an,Januari - Juni,Menderes: 1. Surah Al-Tatfif 2. Surah Al-Infitar
Pra Nikah 3,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
Pra Nikah 3,Materi Dasar Keagamaan,Juli,Dasar Aqidah
Pra Nikah 3,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
Pra Nikah 3,Materi Dasar Keagamaan,September,Kemurnian ibadah
Pra Nikah 3,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
Pra Nikah 3,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
Pra Nikah 3,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
Pra Nikah 3,Materi Dasar Keagamaan,Januari,Mandi Junub
Pra Nikah 3,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
Pra Nikah 3,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
Pra Nikah 3,Materi Dasar Keagamaan,April,Puasa Romadlon
Pra Nikah 3,Materi Dasar Keagamaan,Mei,Puasa Sunnah
Pra Nikah 3,Materi Dasar Keagamaan,Juni,Aurat
Pra Nikah 3,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
Pra Nikah 3,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
Pra Nikah 3,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
Pra Nikah 3,Materi Dasar Keagamaan,Mei,Hukum Mahram
Pra Nikah 3,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
Pra Nikah 3,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
Pra Nikah 3,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
Pra Nikah 3,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
Pra Nikah 3,Akhlaq,Juli - Agustus,Pribadi
Pra Nikah 3,Akhlaq,September - Oktober,Keluarga
Pra Nikah 3,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Pra Nikah 3,Akhlaq,Januari - Maret,Masyarakat
Pra Nikah 3,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Pra Nikah 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
Pra Nikah 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
Pra Nikah 3,Adab/ Tatakrama,September,Bergaul dengan teman
Pra Nikah 3,Adab/ Tatakrama,Oktober,Ketika Di Masjid
Pra Nikah 3,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
Pra Nikah 3,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
Pra Nikah 3,Adab/ Tatakrama,Januari,Berpakaian
Pra Nikah 3,Adab/ Tatakrama,Februari,Ketika Menguap
Pra Nikah 3,Adab/ Tatakrama,Maret,Terhadap Kerabat
Pra Nikah 3,Adab/ Tatakrama,April,Tata krama bersepeda
Pra Nikah 3,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
Pra Nikah 3,Adab/ Tatakrama,Juni,Dalam bermasyarakat
Pra Nikah 3,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
Pra Nikah 3,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
Pra Nikah 3,Adab/ Tatakrama,November,Terhadap Ulil Amri
Pra Nikah 3,Adab/ Tatakrama,Januari,Tidur
Pra Nikah 3,Adab/ Tatakrama,Februari,Ketika Bersin
Pra Nikah 3,Adab/ Tatakrama,Maret,Terhadap Tetangga
Pra Nikah 3,Adab/ Tatakrama,April,Tata krama ketika makan bersama
Pra Nikah 3,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
Pra Nikah 3,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
Pra Nikah 3,Mandiri,Juli,Kemandirian pribadi
Pra Nikah 3,Mandiri,Agustus,Dalam Keluarga
Pra Nikah 3,Mandiri,September,Kemandirian dalam keluarga
Pra Nikah 3,Mandiri,Oktober,Keterampilan Generus Putra
Pra Nikah 3,Mandiri,November - Desember,Keterampilan Generus Putri
Pra Nikah 3,Mandiri,Januari,Kemandirian pribadi
Pra Nikah 3,Mandiri,Februari,Dalam Keluarga
Pra Nikah 3,Mandiri,Maret,Kemandirian dalam keluarga
Pra Nikah 3,Mandiri,April,Keterampilan Generus Putra
Pra Nikah 3,Mandiri,Mei - Juni,Keterampilan Generus Putri
