kelas,kategori,target_bulan,materi
SMP 3,Baca Huruf Quran,Juli - Agustus,Al Quran 24
SMP 3,Baca Huruf Quran,September - Oktober,Al Quran 25
SMP 3,Baca Huruf Quran,November - Desember,Al Quran 26
SMP 3,Baca Huruf Quran,Januari - Februari,Al Quran 27
SMP 3,Baca Huruf Quran,Maret - April,Al Quran 28
SMP 3,Baca Huruf Quran,Mei - Juni,Al Quran 29
SMP 3,Baca Huruf Quran,Juli,Hukum Makhorijul Huruf
SMP 3,Baca Huruf Quran,Januari,Hukum sifat-sifat huruf
SMP 3,Baca Huruf Quran,Februari,Hukum Pembagian Waqof
SMP 3,Baca Huruf Quran,Maret,Hukum Bid'ah dalam bacaan
SMP 3,Baca Huruf Quran,April,Hukum Takbir
SMP 3,Tulis Huruf Arab,Juli - Agustus,Makna Juz 27
SMP 3,Tulis Huruf Arab,September - Oktober,Makna Juz 28
SMP 3,Tulis Huruf Arab,November - Desember,K. Adillah
SMP 3,Tulis Huruf Arab,Januari - Februari,Juz 29
SMP 3,Tulis Huruf Arab,Maret - April,Juz 30
SMP 3,Tulis Huruf Arab,Mei - Juni,K. Sifatil Jannati Wannar
SMP 3,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Abasa
SMP 3,Hafalan Surat Al Qur'an,September - Oktober,Surat An Naziat
SMP 3,Hafalan Surat Al Qur'an,November - Desember,4 Roda Berputar
SMP 3,Hafalan Surat Al Qur'an,Januari - Februari,Surat An Naba'
SMP 3,Hafalan Surat Al Qur'an,Maret - April,Surat Shof ayat 10-13
SMP 3,Hafalan Surat Al Qur'an,Mei - Juni,5 Usaha Mecari Kefahaman
SMP 3,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMP 3,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMP 3,Materi Dasar Keagamaan,Agustus,Pengetahuan wajibnya taat dan haromnya maksiat
SMP 3,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMP 3,Materi Dasar Keagamaan,Oktober,"Sholat sunah rowatib, dhuha, dan tahajud"
SMP 3,Materi Dasar Keagamaan,November,"ilmu manqul, musnad, muttashil"
SMP 3,Materi Dasar Keagamaan,Desember,mandi junub
SMP 3,Materi Dasar Keagamaan,Januari,Pengertian Qu'an Hadis Jama'ah
SMP 3,Materi Dasar Keagamaan,Februari,Puasa Romadhon
SMP 3,Materi Dasar Keagamaan,Maret,"Kefadholan puasa,dan yang di perbolehkan saat puasa"
SMP 3,Materi Dasar Keagamaan,April,hukum mahrom
SMP 3,Materi Dasar Keagamaan,Mei,"hukum haid, mani, madzi, wadhi"
SMP 3,Materi Dasar Keagamaan,Juni,Aurot
SMP 3,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMP 3,Materi Dasar Keagamaan,Agustus,Pengetahuan halal dan harom
SMP 3,Materi Dasar Keagamaan,Januari,Thoharoh dan Sholat
SMP 3,Praktik Ibadah,Juli - September,Praktik sholat tasbih
SMP 3,Praktik Ibadah,Oktober - Desember,Praktik salat beserta bacaan dan doanya
SMP 3,Praktik Ibadah,Januari - Maret,Praktik rutin membaca Al Quran
SMP 3,Praktik Ibadah,April - Juni,Praktik rutin membaca PR 13
SMP 3,Akhlaq,Juli - Agustus,Pribadi
SMP 3,Akhlaq,September - Oktober,Keluarga
SMP 3,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMP 3,Akhlaq,Januari - Maret,Masyarakat
SMP 3,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMP 3,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMP 3,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMP 3,Adab/ Tatakrama,September,Tata krama terhadap ulil amri
SMP 3,Adab/ Tatakrama,Oktober,Tata krama berpakaian
SMP 3,Adab/ Tatakrama,November,Tata krama terhadap kerabat
SMP 3,Adab/ Tatakrama,Desember,Tata krama terhadap tetangga
SMP 3,Adab/ Tatakrama,Januari,Tata krama ketika di masjid
SMP 3,Adab/ Tatakrama,Februari,Tata krama terhadap lingkungan dan alam sekitar
SMP 3,Adab/ Tatakrama,Maret,Tata krama ketika menguap
SMP 3,Adab/ Tatakrama,April,Tata krama bersepeda
SMP 3,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMP 3,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMP 3,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMP 3,Adab/ Tatakrama,Agustus,Bergaul dengan teman
SMP 3,Adab/ Tatakrama,September,Tata krama bertamu/ diajak bertamu
SMP 3,Adab/ Tatakrama,Januari,Tata krama di tempat pengajian dan sekolah
SMP 3,Adab/ Tatakrama,Februari,Tata krama tidur
SMP 3,Adab/ Tatakrama,Maret,Tata krama ketika bersin
SMP 3,Mandiri,Juli - Agustus,Kemandirian pribadi
SMP 3,Mandiri,September - Oktober,Kemandirian dalam keluarga
SMP 3,Mandiri,November - Desember,Kemandirian dalam lingkungan jamaah dan sekolah
SMP 3,Mandiri,Januari - Maret,Keterampilan Generus Putra
SMP 3,Mandiri,April - Juni,Keterampilan Generus Putri
