kelas,kategori,target_bulan,materi
Pra Nikah 1,Baca Huruf Quran,Juli - Desember,Menderes Juz 19-20
Pra Nikah 1,Baca Huruf Quran,Januari - Juni,Menderes Juz 21-22
Pra Nikah 1,Tulis Huruf Arab,Juli - Oktober,Juz 1 – 2
Pra Nikah 1,Tulis Huruf Arab,November - Desember,K. Manasikil Haji (113)
Pra Nikah 1,Tulis Huruf Arab,Januari - April,Juz 2 – 3
Pra Nikah 1,Tulis Huruf Arab,Mei - Juni,K. Nikah
Pra Nikah 1,Hafalan Surat Al Qur'an,Juli - Desember,Menderes: Surah An-Nas 1. Surah Al-Falaq 2. Surah Al-Ikhlas 3. Surah Al-Lahab 4. Surah An-Nasr 5. Al-Kafirun 6. Surah Al-Kausar 7. Surah Al-Ma’un 8. Surah Quraisy
Pra Nikah 1,Hafalan Surat Al Qur'an,Januari - Juni,Menderes: 1. Surah Al-Fil 2. Surah Al-Humazah 3. Surah Al-'Asr 4. At-Takasur 5. Surah Al-Qari'ah 6. Al-'Adiyat 7. Surah Az-Zalzalah
Pra Nikah 1,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
Pra Nikah 1,Materi Dasar Keagamaan,Juli,Dasar Aqidah
Pra Nikah 1,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
Pra Nikah 1,Materi Dasar Keagamaan,September,Kemurnian ibadah
Pra Nikah 1,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
Pra Nikah 1,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
Pra Nikah 1,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
Pra Nikah 1,Materi Dasar Keagamaan,Januari,Mandi Junub
Pra Nikah 1,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
Pra Nikah 1,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud, tasbih, hajat dan istikhoroh"
Pra Nikah 1,Materi Dasar Keagamaan,April,Puasa Romadlon
Pra Nikah 1,Materi Dasar Keagamaan,Mei,Puasa Sunnah
Pra Nikah 1,Materi Dasar Keagamaan,Juni,Aurat
Pra Nikah 1,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
Pra Nikah 1,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
Pra Nikah 1,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
Pra Nikah 1,Materi Dasar Keagamaan,Mei,Hukum Mahram
Pra Nikah 1,Praktik Ibadah,Juli - September,Mempraktikan sholat hajat
Pra Nikah 1,Praktik Ibadah,Oktober - Desember,Mempraktikan sholat istikhoroh
Pra Nikah 1,Praktik Ibadah,Januari - Maret,Mempraktikan sholat hajat
Pra Nikah 1,Praktik Ibadah,April - Juni,Mempraktikan sholat istikhoroh
Pra Nikah 1,Akhlaq,Juli - Agustus,Pribadi
Pra Nikah 1,Akhlaq,September - Oktober,Keluarga
Pra Nikah 1,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
Pra Nikah 1,Akhlaq,Januari - Maret,Masyarakat
Pra Nikah 1,Akhlaq,April - Juni,Lingkungan dan alam sekitar
Pra Nikah 1,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
Pra Nikah 1,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
Pra Nikah 1,Adab/ Tatakrama,September,Bergaul dengan teman
Pra Nikah 1,Adab/ Tatakrama,Oktober,Ketika Di Masjid
Pra Nikah 1,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
Pra Nikah 1,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
Pra Nikah 1,Adab/ Tatakrama,Januari,Berpakaian
Pra Nikah 1,Adab/ Tatakrama,Februari,Ketika Menguap
Pra Nikah 1,Adab/ Tatakrama,Maret,Terhadap Kerabat
Pra Nikah 1,Adab/ Tatakrama,April,Tata krama bersepeda
Pra Nikah 1,Adab/ Tatakrama,Mei,Tata krama mencari ilmu
Pra Nikah 1,Adab/ Tatakrama,Juni,Dalam bermasyarakat
Pra Nikah 1,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
Pra Nikah 1,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
Pra Nikah 1,Adab/ Tatakrama,November,Terhadap Ulil Amri
Pra Nikah 1,Adab/ Tatakrama,Januari,Tidur
Pra Nikah 1,Adab/ Tatakrama,Februari,Ketika Bersin
Pra Nikah 1,Adab/ Tatakrama,Maret,Terhadap Tetangga
Pra Nikah 1,Adab/ Tatakrama,April,Tata krama ketika makan bersama
Pra Nikah 1,Adab/ Tatakrama,Mei,Dalam kehidupan berumah tangga
Pra Nikah 1,Adab/ Tatakrama,Juni,Dalam lingkungan kerja
Pra Nikah 1,Mandiri,Juli,Kemandirian pribadi
Pra Nikah 1,Mandiri,Agustus,Dalam Keluarga
Pra Nikah 1,Mandiri,September,Kemandirian dalam keluarga
Pra Nikah 1,Mandiri,Oktober,Keterampilan Generus Putra
Pra Nikah 1,Mandiri,November - Desember,Keterampilan Generus Putri
Pra Nikah 1,Mandiri,Januari,Kemandirian pribadi
Pra Nikah 1,Mandiri,Februari,Dalam Keluarga
Pra Nikah 1,Mandiri,Maret,Kemandirian dalam keluarga
Pra Nikah 1,Mandiri,April,Keterampilan Generus Putra
Pra Nikah 1,Mandiri,Mei - Juni,Keterampilan Generus Putri
