kelas,kategori,target_bulan,materi
SMA 2,Baca Huruf Quran,Juli - Juni,Menderes Harian
SMA 2,Tulis Huruf Arab,Juli,Makna Juz 10
SMA 2,Tulis Huruf Arab,Agustus,Makna Juz10
SMA 2,Tulis Huruf Arab,September - Oktober,Makna Juz 11
SMA 2,Tulis Huruf Arab,November - Desember,K. Ahkam
SMA 2,Tulis Huruf Arab,Januari,Juz 11
SMA 2,Tulis Huruf Arab,Februari - Maret,Juz 12
SMA 2,Tulis Huruf Arab,April,Juz12
SMA 2,Tulis Huruf Arab,Mei - Juni,K. Jihad
SMA 2,Hafalan Surat Al Qur'an,Juli - Agustus,Surat Al Mu’minun 1-11
SMA 2,Hafalan Surat Al Qur'an,September - Oktober,Dalil 6 Thobiat Luhur 1
SMA 2,Hafalan Surat Al Qur'an,November - Desember,Dalil Wajibnya Berjama’ah 3
SMA 2,Hafalan Surat Al Qur'an,Januari - Februari,Surat Al Mu’minun 115-118
SMA 2,Hafalan Surat Al Qur'an,Maret - April,Surat Al Kahfi 1-10
SMA 2,Hafalan Surat Al Qur'an,Mei - Juni,Dalil 5 Syarat Kerukunan 1
SMA 2,Hafalan Doa Harian,Juli - Juni,menerampilkan hafalan do'a pada jenjang sebelumnya
SMA 2,Materi Dasar Keagamaan,Juli,Dasar Aqidah
SMA 2,Materi Dasar Keagamaan,Agustus,Pengertian Qur’an Hadits Jama’ah
SMA 2,Materi Dasar Keagamaan,September,Kemurnian ibadah
SMA 2,Materi Dasar Keagamaan,Oktober,Pengetahuan wajibnya taat dan haromnya maksiat
SMA 2,Materi Dasar Keagamaan,November,Pengetahuan hukum halal-haram
SMA 2,Materi Dasar Keagamaan,Desember,Thaharah dan Sholat
SMA 2,Materi Dasar Keagamaan,Januari,Mandi Junub
SMA 2,Materi Dasar Keagamaan,Februari,"Hukum haid, mani, madzi dan wadhi"
SMA 2,Materi Dasar Keagamaan,Maret,"Sholat sunnah rowatib, dhuha, tahajjud dan tasbih"
SMA 2,Materi Dasar Keagamaan,April,Puasa Romadlon
SMA 2,Materi Dasar Keagamaan,Mei,Puasa Sunnah
SMA 2,Materi Dasar Keagamaan,Juni,Aurat
SMA 2,Materi Dasar Keagamaan,Juli,"Rukun iman, rukun islam dan ihsan"
SMA 2,Materi Dasar Keagamaan,Agustus,"Ilmu Manqul, Musnad, Muttashil"
SMA 2,Materi Dasar Keagamaan,April,Kefadholan puasa dan hal-hal yang diperbolehkan serta membatalkan puasa
SMA 2,Materi Dasar Keagamaan,Mei,Hukum Mahram
SMA 2,Praktik Ibadah,Juli - September,Mempraktikkan puasa sunah
SMA 2,Praktik Ibadah,Oktober - Desember,Mempraktikkan doa-doa yang telah dihafal
SMA 2,Praktik Ibadah,Januari - Maret,Mempraktikkan puasa sunah
SMA 2,Praktik Ibadah,April - Juni,Mempraktikkan doa-doa yang telah dihafal
SMA 2,Akhlaq,Juli - Agustus,Pribadi
SMA 2,Akhlaq,September - Oktober,Keluarga
SMA 2,Akhlaq,November - Desember,"Ulil Amri, Guru, dan Mubaligh-Mubalighot"
SMA 2,Akhlaq,Januari - Maret,Masyarakat
SMA 2,Akhlaq,April - Juni,Lingkungan dan alam sekitar
SMA 2,Adab/ Tatakrama,Juli,Ta'dhim dan berbuat baik kepada orang tua
SMA 2,Adab/ Tatakrama,Agustus,Menghormati guru dan mubaligh-mubalighot
SMA 2,Adab/ Tatakrama,September,Bergaul dengan teman
SMA 2,Adab/ Tatakrama,Oktober,Ketika Di Masjid
SMA 2,Adab/ Tatakrama,November,Terhadap Lingkungan Dan Alam Sekitar
SMA 2,Adab/ Tatakrama,Desember,Bertamu/Diajak Bertamu Dan Kedatangan Tamu
SMA 2,Adab/ Tatakrama,Januari,Berpakaian
SMA 2,Adab/ Tatakrama,Februari,Ketika Menguap
SMA 2,Adab/ Tatakrama,Maret,Terhadap Kerabat
SMA 2,Adab/ Tatakrama,April,Tata krama bersepeda
SMA 2,Adab/ Tatakrama,Mei,Tata krama ketika makan bersama
SMA 2,Adab/ Tatakrama,Juni,Tata krama mencari ilmu
SMA 2,Adab/ Tatakrama,Juli,Menghormati yang lebih tua dan menyayangi yang muda
SMA 2,Adab/ Tatakrama,Oktober,Ketika Di Tempat Pengajian Dan Sekolah
SMA 2,Adab/ Tatakrama,November,Terhadap Ulil Amri
SMA 2,Adab/ Tatakrama,Januari,Tidur
SMA 2,Adab/ Tatakrama,Februari,Ketika Bersin
SMA 2,Adab/ Tatakrama,Maret,Terhadap Tetangga
SMA 2,Mandiri,Juli,Kemandirian pribadi
SMA 2,Mandiri,Agustus,Dalam Keluarga
SMA 2,Mandiri,September,Kemandirian dalam keluarga
SMA 2,Mandiri,Oktober,Keterampilan Generus Putra
SMA 2,Mandiri,November - Desember,Keterampilan Generus Putri
SMA 2,Mandiri,Januari,Kemandirian pribadi
SMA 2,Mandiri,Februari,Dalam Keluarga
SMA 2,Mandiri,Maret,Kemandirian dalam keluarga
SMA 2,Mandiri,April,Keterampilan Generus Putra
SMA 2,Mandiri,Mei - Juni,Keterampilan Generus Putri
